counter,groupno,groupimg,itemurl,itemmp3,itemname
1,1,https://raw.githubusercontent.com/arisdelarea/TalkingAra/master/001-001.png,https://raw.githubusercontent.com/arisdelarea/TalkingAra/master/TeddyBear.jpg,https://raw.githubusercontent.com/arisdelarea/TalkingAra/master/BGMusic002.mp3,Teddy Bear
2,2,https://raw.githubusercontent.com/arisdelarea/TalkingAra/master/001-002.png,https://raw.githubusercontent.com/arisdelarea/TalkingAra/master/Jollibee.jpg,https://raw.githubusercontent.com/arisdelarea/TalkingAra/master/BGMusic002.mp3,Jollibee
3,3,https://raw.githubusercontent.com/arisdelarea/TalkingAra/master/001-003.png,https://raw.githubusercontent.com/arisdelarea/TalkingAra/master/Cat003.png,https://raw.githubusercontent.com/arisdelarea/TalkingAra/master/BGMusic002.mp3,CAT
4,4,https://raw.githubusercontent.com/arisdelarea/TalkingAra/master/001-004.png,https://raw.githubusercontent.com/arisdelarea/TalkingAra/master/Mouse002.png,https://raw.githubusercontent.com/arisdelarea/TalkingAra/master/BGMusic002.mp3,MOUSE
5,5,https://raw.githubusercontent.com/arisdelarea/TalkingAra/master/001-005.png,https://raw.githubusercontent.com/arisdelarea/TalkingAra/master/Dog002.png,https://raw.githubusercontent.com/arisdelarea/TalkingAra/master/Dog002.mp3,DOG
6,6,https://raw.githubusercontent.com/arisdelarea/TalkingAra/master/001-006.png,https://raw.githubusercontent.com/arisdelarea/TalkingAra/master/Horse002.png,https://raw.githubusercontent.com/arisdelarea/TalkingAra/master/BGMusic002.mp3,HORSE
7,7,https://raw.githubusercontent.com/arisdelarea/TalkingAra/master/001-007.png,https://raw.githubusercontent.com/arisdelarea/TalkingAra/master/TeddyBear.jpg,https://raw.githubusercontent.com/arisdelarea/TalkingAra/master/BGMusic002.mp3,Teddy Bear
8,8,https://raw.githubusercontent.com/arisdelarea/TalkingAra/master/001-008.png,https://raw.githubusercontent.com/arisdelarea/TalkingAra/master/Jollibee.jpg,https://raw.githubusercontent.com/arisdelarea/TalkingAra/master/BGMusic002.mp3,Jollibee
9,9,https://raw.githubusercontent.com/arisdelarea/TalkingAra/master/001-009.png,https://raw.githubusercontent.com/arisdelarea/TalkingAra/master/Cat002.png,https://raw.githubusercontent.com/arisdelarea/TalkingAra/master/BGMusic002.mp3,CAT
10,10,https://raw.githubusercontent.com/arisdelarea/TalkingAra/master/001-010.png,https://raw.githubusercontent.com/arisdelarea/TalkingAra/master/Mouse002.png,https://raw.githubusercontent.com/arisdelarea/TalkingAra/master/BGMusic002.mp3,MOUSE
11,11,https://raw.githubusercontent.com/arisdelarea/TalkingAra/master/001-011.png,https://raw.githubusercontent.com/arisdelarea/TalkingAra/master/Dog002.png,https://raw.githubusercontent.com/arisdelarea/TalkingAra/master/Dog002.mp3,DOG
12,12,https://raw.githubusercontent.com/arisdelarea/TalkingAra/master/001-012.png,https://raw.githubusercontent.com/arisdelarea/TalkingAra/master/Horse002.png,https://raw.githubusercontent.com/arisdelarea/TalkingAra/master/BGMusic002.mp3,HORSE
